

1	Was	Was	PWS	was	nom|sg|neut	SB	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	zu	zu	APPR	zu	_	MO	2
4	Ihrem	Ihrem	PPOSAT	Ihr	dat|sg|neut	NK	5
5	Befehle	Befehle	NN	Befehl	dat|sg|masc	NK	3
6	?	?	SENT	?	_	--	5

1	Haben	Haben	VAFIN	haben	pl|3|pres|ind	--	0
2	Sie	Sie	PPER	Sie	nom|pl|*|3	SB	1
3	etwa	etwa	ADV	etwa	_	MO	7
4	wegen	wegen	APPR	wegen	_	MO	7
5	der	der	ART	d	gen|pl|fem	NK	7
6	zehn	zehn	CARD	zehn	_	MO	7
7	tausend	tausend	CARD	tausend	_	NK	8
8	Thaler	Taler	NN	Taler	gen|pl|masc	OA	1
9	,	,	$,	,	_	--	8
10	die	die	PRELS	d	acc|sg|fem	OA	15
11	ich	ich	PPER	ich	nom|sg|*|1	SB	15
12	meiner	meiner	PPOSAT	mein	gen|pl|masc	NK	13
13	Schwester	Schwester	NN	Schwester	acc|sg|neut	OA	14
14	herausgeben	herausgeben	VVINF	herausgeben	_	OC	15
15	soll	soll	VMFIN	sollen	sg|3|pres|ind	RC	8
16	,	,	$,	,	_	--	15
17	etwas	etwas	ADV	etwas	*|*|neut	OA	19
18	zu	zu	PTKZU	zu	_	PM	19
19	erinnern	erinnern	VVINF	erinnern	_	OC	8
20	?	?	SENT	?	_	--	19

1	Thun	Tun	VVFIN	tun	pl|3|pres|ind	--	0
2	Sie	Sie	PPER	Sie	nom|pl|*|3	SB	1
3	nur	nur	ADV	nur	_	MO	5
4	einen	einen	ART	ein	acc|sg|masc	NK	5
5	Vorschlag	Vorschlag	NN	Vorschlag	acc|sg|masc	OA	1
6	.	.	SENT	.	_	--	5

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	bin	bin	VAFIN	sein	sg|1|pres|ind	--	0
3	zu	zu	APPR	zu	_	MO	5
4	allem	allem	PIAT	all	dat|sg|neut	NK	3
5	bereit	bereit	ADJD	bereit	pos	PD	2
6	.	.	SENT	.	_	--	5

1	Mamsell	Mamsell	NN	Mamsell	nom|sg|*	OA	4
2	,	,	$,	,	_	--	1
3	davon	davon	PAV	davon	_	OP	7
4	wollen	wollen	VMFIN	wollen	pl|1|pres|ind	--	0
5	wir	wir	PPER	wir	nom|pl|*|1	SB	4
6	einandermal	einandermal	ADV	einandermal	_	MO	7
7	reden	reden	VVINF	reden	_	OC	4
8	.	.	SENT	.	_	--	7

1	Glauben	Glauben	VVIMP	glauben	pl|3|pres|ind	--	0
2	Sie	Sie	PPER	Sie	nom|pl|*|3	SB	1
3	wohl	wohl	ADV	wohl	_	MO	1
4	,	,	$,	,	_	--	3
5	daß	daß	KOUS	daß	_	CP	10
6	mir	mir	PPER	ich	dat|sg|*|1	DA	10
7	Ihr	Ihr	PPOSAT	Ihr	nom|sg|neut	NK	8
8	Gluͤck	Glück	NN	Glück	nom|sg|neut	SB	10
9	lieb	lieb	ADJD	lieb	pos	PD	10
10	ist	ist	VAFIN	sein	sg|3|pres|ind	OC	1
11	,	,	$,	,	_	--	10
12	und	und	KON	und	_	CD	10
13	daß	daß	KOUS	daß	_	CP	18
14	ich	ich	PPER	ich	nom|sg|*|1	SB	18
15	ein	ein	ART	ein	nom|sg|masc	NK	17
16	ehrlicher	ehrlicher	ADJA	ehrlich	nom|sg|masc|pos	NK	17
17	Mann	Mann	NN	Mann	nom|sg|masc	PD	18
18	bin	bin	VAFIN	sein	sg|1|pres|ind	CJ	12
19	?	?	SENT	?	_	--	18

1	So	So	ADV	so	_	MO	2
2	unhoͤflich	unhöflich	ADJD	unhöflich	pos	PD	6
3	diese	diese	PDAT	dies	nom|pl|neut	NK	5
4	beyden	beiden	PIAT	beide	nom|pl|fem	NK	5
5	Fragen	Fragen	NN	Frage	nom|pl|fem	PD	6
6	sind	sind	VAFIN	sein	pl|3|pres|ind	--	0
7	:	:	SENT	:	_	--	6

1	so	so	ADV	so	_	MO	2
2	muß	muß	VMFIN	müssen	sg|1|pres|ind	--	0
3	ich	ich	PPER	ich	nom|sg|*|1	SB	2
4	sie	sie	PPER	Sie	sg|1|pres|ind	OA	8
5	doch	doch	ADV	doch	_	MO	2
6	an	an	APPR	an	_	MO	8
7	Sie	Sie	PPER	Sie	acc|pl|*|3	NK	6
8	thun	tun	VVINF	tun	_	OC	2
9	,	,	$,	,	_	--	8
10	weil	weil	KOUS	weil	_	CP	16
11	ich	ich	PPER	ich	nom|sg|*|1	SB	16
12	sonst	sonst	ADV	sonst	_	MO	16
13	in	in	APPR	in	_	MO	16
14	der	der	ART	d	dat|sg|fem	NK	15
15	Gefahr	Gefahr	NN	Gefahr	dat|sg|fem	NK	13
16	stehe	stehe	VVFIN	stehen	sg|3|pres|subj	MO	2
17	,	,	$,	,	_	--	16
18	daß	daß	KOUS	daß	_	CP	24
19	Sie	Sie	PPER	Sie	nom|pl|*|3	SB	24
20	meinen	meinen	PPOSAT	mein	acc|sg|masc	NK	21
21	Antrag	Antrag	NN	Antrag	acc|sg|masc	OA	23
22	nicht	nicht	PTKNEG	nicht	_	NG	23
23	anhoͤren	anhören	VVINF	anhören	_	OC	24
24	werden	werden	VAFIN	werden	pl|3|pres|ind	OC	15
25	.	.	SENT	.	_	--	24

1	Mein	Mein	PPOSAT	mein	nom|sg|masc	NK	2
2	Herr	Herr	NN	Herr	nom|sg|masc	VO	5
3	,	,	$,	,	_	--	2
4	womit	womit	PWAVREL	womit	_	MO	5
5	kann	kann	VMFIN	können	sg|1|pres|ind	--	0
6	ich	ich	PPER	ich	nom|sg|*|1	SB	5
7	Ihnen	Ihnen	PPER	Sie	dat|pl|*|3	DA	8
8	dienen	dienen	VVINF	dienen	_	OC	5
9	?	?	SENT	?	_	--	8

1	Reden	Reden	VVIMP	reden	pl|3|pres|ind	--	0
2	Sie	Sie	PPER	Sie	nom|pl|*|3	SB	1
3	frey	frei	ADJD	frei	_	SVP	1
4	.	.	SENT	.	_	--	3

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	sage	sage	VVFIN	sagen	sg|1|pres|ind	--	0
3	es	es	PPER	es	acc|sg|neut|3	OA	2
4	Ihnen	Ihnen	PPER	Sie	dat|pl|*|3	DA	2
5	,	,	$,	,	_	--	4
6	daß	daß	KOUS	daß	_	CP	13
7	ich	ich	PPER	ich	nom|sg|*|1	SB	13
8	eben	eben	ADV	eben	_	MO	13
9	den	den	ART	d	acc|sg|masc	NK	10
10	Gehorsam	Gehorsam	NN	Gehorsam	acc|sg|masc	OA	13
11	gegen	gegen	APPR	gegen	_	MNR	10
12	Sie	Sie	PPER	Sie	acc|pl|*|3	NK	11
