*	XY	*
Bamberg	NE	Bamberg
,	$,	,
31	CARD	@card@
.	$.	.
März	NN	März
.	$.	.
Gelegentlich	ADJD	gelegentlich
der	ART	die
gestr	NE	gestr
.	$.	.
Landwehr	NN	Landwehr
=	$(	=
Controlversammlung	NN	Controlversammlung
dahier	ADJD	dahier
kamen	VVFIN	kommen
leider	ADV	leider
mehrfache	ADJA	mehrfach
Excesse	NN	Excesse
vor	PTKVZ	vor
,	$,	,
wobei	PWAV	wobei
natürlich	ADV	natürlich
die	ART	die
Verhaftung	NN	Verhaftung
der	ART	die
Ruhestörer	NN	Ruhestörer
vorgenommen	VVPP	vornehmen
werden	VAINF	werden
mußte	VMFIN	müssen
.	$.	.
In	APPR	in
Folge	NN	Folge
dessen	PDAT	die
Bedrohung	NN	Bedrohung
der	ART	die
Polizeimannschaft	NN	Polizeimannschaft
,	$,	,
Befreiungsversuche	NN	Befreiungsversuch
mehrerer	PIAT	mehrere
Excedenten	NN	Excedenten
,	$,	,
wobei	PWAV	wobei
Polizeisoldat	NN	Polizeisoldat
Masching	NN	Masching
durch	APPR	durch
Messerstiche	NN	Messerstich
bedeutend	ADJD	bedeutend
verletzt	VVPP	verletzen
wurde	VAFIN	werden
.	$.	.
Wie	KOUS	wie
wir	PPER	wir
hören	VVFIN	hören
,	$,	,
sah	VVFIN	sehen
sich	PRF	sich
die	ART	die
Polizeimannschaft	NN	Polizeimannschaft
gezwungen	VVPP	zwingen
,	$,	,
mehrfach	ADJD	mehrfach
von	APPR	von
der	ART	die
blanken	ADJA	blank
Waffe	NN	Waffe
Gebrauch	NN	Gebrauch
zu	PTKZU	zu
machen	VVINF	machen
.	$.	.
Es	PPER	es
sind	VAFIN	sein
die	ART	die
umfassendsten	ADJA	umfassend
Vorkehrungen	NN	Vorkehrung
getroffen	VVPP	treffen|triefen
,	$,	,
derlei	PIAT	derlei
bedauerlichen	ADJA	bedauerlich
Ruhestörungen	NN	Ruhestörung
energisch	ADJD	energisch
entgegenzutreten	VVIZU	entgegentreten
.	$.	.
