

1	Dero	Dero	PDAT	Dero	_	MO	6
2	gehorsamster	gehorsamster	ADJA	gehorsamster	nom|sg|masc|sup	NK	3
3	Diener	Diener	NN	Diener	nom|sg|masc	NK	1
4	-	-	$.	-	_	--	3
5	-	-	$.	-	_	--	4
6	Sind	Sind	VAFIN	sein	pl|3|pres|ind	--	0
7	ohne	ohne	APPR	ohne	_	MO	6
8	Zweifel	Zweifel	NN	Zweifel	acc|sg|masc	NK	7
9	der	der	ART	d	gen|sg|fem	NK	11
10	junge	junge	ADJA	jung	nom|sg|masc|pos	NK	11
11	Herr	Herr	NN	Herr	nom|sg|masc	PD	6
12	Ruhberg	Ruhberg	NE	Ruhberg	nom|sg|masc	NK	11
13	?	?	SENT	?	_	--	12

1	Nein	Nein	PTKANT	nein	_	DM	3
2	mein	mein	PPOSAT	mein	nom|sg|masc	NK	3
3	Herr	Herr	NN	Herr	nom|sg|masc	--	0
4	.	.	SENT	.	_	--	3

1	Er	Er	PPER	Er	nom|sg|masc|3	SB	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	nicht	nicht	PTKNEG	nicht	_	NG	2
4	zu	zu	APPR	zu	_	MO	2
5	Hause	Hause	NN	Haus	dat|sg|neut	NK	4
6	-	-	$.	-	_	--	5
7	-	-	$.	-	_	--	6

1	Wenn	Wenn	KOUS	wenn	_	CP	6
2	sein	sein	PPOSAT	sein	nom|sg|masc	NK	3
3	Herr	Herr	NN	Herr	nom|sg|masc	SB	6
4	zu	zu	APPR	zu	_	MO	6
5	Hause	Hause	NN	Haus	dat|sg|neut	NK	4
6	kommt	kommt	VVFIN	kommen	sg|3|pres|ind	RE	8
7	,	,	$,	,	_	--	6
8	so	so	ADV	so	_	MO	9
9	sage	sage	VVFIN	sagen	sg|3|pres|subj	--	0
10	er	er	PPER	er	nom|sg|masc|3	SB	9
11	ihm	ihm	PPER	er	dat|sg|masc|3	DA	9
12	,	,	$,	,	_	--	11
13	ich	ich	PPER	ich	nom|sg|*|1	SB	14
14	ließ	ließ	VVFIN	lassen	sg|3|past|ind	RE	8
15	ihn	ihn	PPER	er	acc|sg|masc|3	OA	14
16	bitten	bitten	VVINF	bitten	_	OC	14
17	,	,	$,	,	_	--	16
18	mich	mich	PRF	ich	acc|sg|*|1	OA	22
19	bey	bei	APPR	bei	_	MO	22
20	sich	sich	PRF	er|es|sie	acc|pl|3	NK	19
21	zu	zu	PTKZU	zu	_	PM	22
22	erwarten	erwarten	VVINF	erwarten	_	OC	16
23	.	.	SENT	.	_	--	22

1	Sehr	Sehr	ADV	sehr	_	MO	2
2	wohl	wohl	ADV	wohl	_	--	0
3	.	.	SENT	.	_	--	2

1	Der	Der	ART	d	nom|sg|masc	NK	2
2	Herr	Herr	NN	Herr	nom|sg|masc	SB	3
3	kommen	kommen	VVINF	kommen	pl|3|pres|ind	--	0
4	wohl	wohl	ADV	wohl	_	MO	3
5	bald	bald	ADV	bald	_	MO	3
6	nach	nach	APPR	nach	_	MO	3
7	Hause	Hause	NN	Haus	dat|sg|neut	NK	6
8	?	?	SENT	?	_	--	7

1	So	So	ADV	so	_	MO	2
2	will	will	VMFIN	wollen	sg|1|pres|ind	--	0
3	ich	ich	PPER	ich	nom|sg|*|1	SB	2
4	mich	mich	PPER	ich	acc|sg|1	OA	8
5	hier	hier	ADV	hier	_	MO	8
6	noch	noch	ADV	noch	_	MO	8
7	etwas	etwas	PIS	etwas	*|*|neut	OA	8
8	verpatientiren	verpatientiren	VVINF	verpatientiren	_	OC	2
9	.	.	SENT	.	_	--	8

1	Das	Das	PDS	d	acc|sg|neut	OA	7
2	moͤchte	möchte	VMFIN	mögen	sg|3|pres|ind	--	0
3	ihnen	ihnen	PPER	sie	dat|pl|*|3	DA	7
4	wohl	wohl	ADV	wohl	_	MO	2
5	zu	zu	APPR	zu	_	MO	6
6	lange	lange	ADV	lange	_	MO	7
7	dauern	dauern	VVINF	dauern	_	OC	2
8	.	.	SENT	.	_	--	7

1	So	So	ADV	so	_	MO	2
2	sey	sei	VAFIN	sein	sg|3|pres|subj	--	0
3	er	er	PPER	er	nom|sg|masc|3	SB	2
4	so	so	ADV	so	_	MO	5
5	gut	gut	ADJD	gut	pos	PD	2
6	,	,	$,	,	_	--	5
7	ihm	ihm	PPER	er	dat|sg|masc|3	DA	10
8	das	das	ART	d	acc|sg|neut	NK	9
9	Billet	Billett	NN	Billett	acc|sg|neut	OA	10
10	einzuhaͤndigen	einzuhändigen	VVIZU	einzuhändigen	_	CC	4
11	.	.	SENT	.	_	--	10

1	Sage	Sage	VVFIN	sagen	sg|3|pres|subj	--	0
2	er	er	PPER	er	nom|sg|masc|3	SB	1
3	nur	nur	ADV	nur	_	MO	1
4	:	:	SENT	:	_	--	3
5	Ich	Ich	PPER	ich	nom|sg|*|1	SB	6
6	waͤre	wäre	VAFIN	sein	sg|3|past|subj	OC	1
7	der	der	ART	d	nom|sg|masc	NK	8
8	Haushofmeister	Haushofmeister	NN	Haushofmeister	nom|sg|masc	PD	6
9	des	des	ART	d	gen|sg|masc	NK	12
10	von	von	APPR	von	_	SBP	11
11	Dammdorfischen	Dammdorfischen	NN	Dammdorfischen	gen|sg|neut|pos	NK	12
12	Hauses	Hauses	NN	Haus	gen|sg|neut	AG	8
13	.	.	SENT	.	_	--	12

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	habe	habe	VAFIN	haben	sg|1|pres|ind	--	0
3	in	in	APPR	in	_	MO	7
4	der	der	ART	d	dat|sg|fem	NK	5
5	Nachbarschaft	Nachbarschaft	NN	Nachbarschaft	dat|sg|fem	NK	3
6	zu	zu	PTKZU	zu	_	PM	7
7	thun	tun	VVINF	tun	_	OC	2
8	und	und	KON	und	_	CD	2
9	werde	werde	VAFIN	werden	sg|3|pres|subj	CJ	8
10	aufs	aufs	APPRART	aufs	acc|sg|neut	MO	14
11	baldigste	baldigste	ADJA	baldigste	acc|sg|neut	NK	10
12	wieder	wieder	ADV	wieder	_	MO	14
13	hier	hier	ADV	hier	_	MO	14
14	seyn	sein	VAINF	sein	_	OC	9

1	Wirst	Wirst	VAFIN	werden	_	MO	6
2	nur	nur	ADV	nur	_	MO	4
3	gar	gar	ADV	gar	_	MO	4
4	zu	zu	APPR	zu	_	MO	6
5	bald	bald	ADV	bald	_	NK	4
6	wiederkommen	wiederkommen	VVINF	wiederkommen	_	OC	8
7	,	,	$,	,	_	--	6
