Bergpolizeiverordnung	NN	Bergpolizeiverordnung
des	ART	die
preuszischen	ADJA	preuszischen
Oberbergamts	NN	Oberbergamts
Bonn	NE	Bonn
für	APPR	für
die	ART	die
Trasz	NE	Trasz
=	$(	=
,	$,	,
Basaltlava	NN	Basaltlava
=	$(	=
und	KON	und
oberirdischen	ADJA	oberirdisch
Dachschieferbrüche	NN	Dachschieferbrüche
in	APPR	in
den	ART	die
linksreihnischen	ADJA	linksreihnischen
Landesteilen	NN	Landesteil
Vom	APPRART	von+die
1	CARD	@card@
.	$.	.
April	NN	April
1935	ADJA	@card@
Bonn	NE	Bonn
1935	CARD	@card@
Donner	NN	Donner
Universitäts	NN	Universitäts
=	$(	=
Buchdruckerei	NN	Buchdruckerei
Gebr.	ADJA	Gebr.
Scheur	NN	Scheur
,	$,	,
G.	NE	G.
m.	APPR	m.
b.	APPR	bei
H.	NE	H.
Abschnitt	NN	Abschnitt
1	CARD	@card@
Allgemeines	NN	Allgemeine
An	PTKVZ	an
=	$(	=
und	KON	und
Abmeldung	NN	Abmeldung
der	ART	die
Betriebe	NN	Betrieb
§	NN	§
1	CARD	@card@
(	$(	(
1	CARD	@card@
)	$(	)
Wer	PWS	wer
einen	ART	eine
Traszbruch	NN	Traszbruch
(	$(	(
Druckstein	NN	Druckstein
=	$(	=
,	$,	,
Luffstein	NN	Luffstein
=	$(	=
,	$,	,
Backofensteinbruch	NN	Backofensteinbruch
)	$(	)
,	$,	,
einen	ART	eine
Basaltlavabruch	NN	Basaltlavabruch
oder	KON	oder
einen	ART	eine
oberirdischen	ADJA	oberirdisch
Dachschieferbruch	NN	Dachschieferbruch
anlegen	VVINF	anlegen
will	VMFIN	wollen
,	$,	,
hat	VAFIN	haben
davon	PAV	davon
dem	ART	die
zuständigen	ADJA	zuständig
Bergrevierbeamten	NN	Bergrevierbeamten
mindestens	ADV	mindestens
14	CARD	@card@
Tage	NN	Tag
vorher	ADV	vorher
Anzeige	NN	Anzeige
zu	PTKZU	zu
machen	VVINF	machen
.	$.	.
(	$(	(
2	CARD	@card@
)	$(	)
Diese	PDAT	dies
Anzeige	NN	Anzeige
musz	NE	musz
enthalten	VVPP	enthalten
:	$.	:
Den	ART	die
Vor	APPR	vor
=	$(	=
und	KON	und
Zunahmen	NN	Zunahme
und	KON	und
die	ART	die
Wohnung	NN	Wohnung
des	ART	die
Eigentümers	NN	Eigentümer
,	$,	,
den	PRELS	die
Vor	PTKVZ	vor
=	$(	=
und	KON	und
Zunamen	NN	Zuname
und	KON	und
die	ART	die
Wohnung	NN	Wohnung
des	ART	die
Betriebsunternehmers	NN	Betriebsunternehmers
,	$,	,
eine	ART	eine
genaue	ADJA	genau
Angabe	NN	Angabe
der	ART	die
Örtlichkeit	NN	Örtlichkeit
des	ART	die
Bruches	NN	Bruch
mit	APPR	mit
einem	ART	eine
Auszug	NN	Auszug
aus	APPR	aus
der	ART	die
Katasterkarte	NN	Katasterkarte
,	$,	,
den	PRELS	die
Vor	PTKVZ	vor
=	$(	=
und	KON	und
Zunamen	NN	Zuname
und	KON	und
die	ART	die
Wohnung	NN	Wohnung
des	ART	die
Aufsehers	NN	Aufseher
,	$,	,
die	ART	die
Angabe	NN	Angabe
,	$,	,
in	APPR	in
welcher	PRELS	welche
Weise	NN	Weise
der	ART	die
Betrieb	NN	Betrieb
geführt	VVPP	führen
werden	VAINF	werden
soll	VMFIN	sollen
.	$.	.
(	$(	(
3	CARD	@card@
)	$(	)
Änderungen	NN	Änderung
sind	VAFIN	sein
dem	ART	die
Bergrevierbeamten	NN	Bergrevierbeamten
binnen	APPR	binnen
14	CARD	@card@
Tagen	NN	Tag
anzuzeigen	VVIZU	anzeigen
.	$.	.
§	NN	§
2	CARD	@card@
Jeder	PIAT	jede
betriebene	ADJA	betrieben
Bruch	NN	Bruch
must	VVFIN	must
ein	ART	eine
deutlich	ADJD	deutlich
sichtbares	ADJA	sichtbar
Schuld	NN	Schuld
mit	APPR	mit
dem	ART	die
Namen	NN	Name
des	ART	die
Betriebsunternehmers	NN	Betriebsunternehmers
und	KON	und
der	ART	die
Nummer	NN	Nummer
oder	KON	oder
der	ART	die
Benennung	NN	Benennung
des	ART	die
Bruches	NN	Bruch
in	APPR	in
dauerhafter	ADJA	dauerhaft
