

1	ACh	Ach	ITJ	ach	_	NK	0
2	!	!	SENT	!	_	--	0

1	was	was	PWS	was	nom|sg|neut	SB	6
2	vor	vor	APPR	vor	_	MNR	1
3	ein	ein	ART	ein	acc|sg|neut	NK	5
4	elendes	elendes	ADJA	elendes	acc|sg|neut|pos	NK	5
5	Ding	Ding	NN	Ding	acc|sg|neut	NK	2
6	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
7	es	es	PPER	es	nom|sg|neut|3	SB	6
8	doch	doch	ADV	doch	_	MO	6
9	umb	umb	APPR	um	pos	MO	6
10	das	das	ART	d	acc|sg|neut	NK	11
11	Leben	Leben	NN	Leben	acc|sg|neut	SB	6
12	!	!	SENT	!	_	--	11

1	und	und	KON	und	_	JU	3
2	ich	ich	PPER	ich	nom|sg|*|1	SB	3
3	kan	kann	VMFIN	können	sg|1|pres|ind	--	0
4	wol	wohl	ADV	wohl	_	MO	3
5	mit	mit	APPR	mit	_	MO	9
6	dem	dem	ART	d	dat|sg|neut	NK	8
7	grossen	großen	ADJA	groß	dat|sg|masc|pos	NK	8
8	Philosopho	Philosopho	NN	Philosopho	dat|sg|neut	NK	5
9	sagen	sagen	VVINF	sagen	_	OC	3
10	/	/	$,	/	_	--	9
11	daß	daß	KOUS	daß	_	CP	14
12	auch	auch	ADV	auch	_	MO	14
13	die	die	ART	d	nom|sg|fem	NK	14
14	Erde	Erde	NN	Erde	nom|sg|fem	CJ	24
15	unser	unser	PPOSAT	unser	acc|sg|neut	NK	16
16	Feind	Feind	NN	Feind	nom|sg|masc	AG	14
17	/	/	$,	/	_	--	16
18	und	und	KON	und	_	CD	24
19	daß	daß	KOUS	daß	_	CP	24
20	niemals	niemals	ADV	niemals	_	MO	22
21	ein	ein	ART	ein	nom|sg|neut	NK	22
22	Unglück	Unglück	NN	Unglück	nom|sg|neut	SB	24
23	allein	allein	ADV	allein	_	MO	24
24	seye	sei	VAFIN	sein	sg|3|pres|subj	OC	9
25	.	.	SENT	.	_	--	24

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	habe	habe	VAFIN	haben	sg|1|pres|ind	--	0
3	nur	nur	ADV	nur	_	MO	7
4	eine	eine	ART	ein	acc|sg|fem	NK	6
5	einige	einige	PIAT	einig	acc|sg|fem	NK	6
