

1	II	II	CARD	2	_	--	0
2	.	.	SENT	.	_	--	1

1	Ob	Ob	KOUS	ob	_	CP	11
2	die	die	ART	d	nom|pl|fem	NK	3
3	Cometen	Kometen	NN	Komet	nom|pl|fem	OA	4
4	feurige	feurige	ADJA	feurig	acc|pl|masc|pos	--	0
5	Coͤrper	Körper	NN	Körper	acc|pl|masc	OA	4
6	wie	wie	KOKOM	wie	_	CM	8
7	die	die	ART	d	nom|pl|masc	NK	8
8	Fixsterne	Fixsterne	NN	Fixstern	nom|pl|masc	CC	5
9	,	,	$,	,	_	--	8
10	oder	oder	KON	oder	_	CD	4
11	dunckele	dunkele	ADJA	dunkel	sg|3|pres|subj	CJ	10
12	,	,	$,	,	_	--	11
13	wie	wie	KOUS	wie	_	MO	16
14	die	die	ART	d	nom|pl|masc	NK	15
15	Planeten	Planeten	NN	Planet	nom|pl|masc	PD	16
16	seyn	sein	VAINF	sein	_	OC	11
17	?	?	SENT	?	_	--	16

1	Man	Man	PIS	man	nom|sg|*	SB	2
2	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
3	durch	durch	APPR	durch	_	MO	14
4	die	die	ART	d	acc|sg|fem	NK	5
5	Observationes	Observationes	FM	Observationes	acc|sg|fem	NK	3
6	,	,	$,	,	_	--	5
7	mit	mit	APPR	mit	_	CJ	3
8	Zuziehung	Zuziehung	NN	Zuziehung	dat|sg|fem	NK	7
9	der	der	ART	d	gen|sg|fem	NK	11
10	gesunden	gesunden	ADJA	gesund	gen|sg|fem|pos	NK	11
11	Vernunfft	Vernunft	NN	Vernunft	gen|sg|fem	AG	8
12	,	,	$,	,	_	--	11
13	deutlich	deutlich	ADJD	deutlich	pos	MO	14
14	erwiesen	erwiesen	VVPP	erweisen	_	OC	2
15	,	,	$,	,	_	--	14
16	daß	daß	KOUS	daß	_	CP	36
17	die	die	ART	d	nom|pl|masc	NK	18
18	Fixsterne	Fixsterne	NN	Fixstern	nom|pl|masc	SB	36
19	so	so	ADV	so	_	MO	20
20	wohl	wohl	ADV	wohl	_	MO	36
21	,	,	$,	,	_	--	20
22	als	als	KOKOM	als	_	CM	36
23	die	die	ART	d	nom|sg|fem	NK	24
24	Sonne	Sonne	NN	Sonne	nom|sg|fem	SB	36
25	,	,	$,	,	_	--	24
26	feurige	feurige	ADJA	feurig	nom|sg|masc|pos	NK	27
27	Coͤrper	Körper	NN	Körper	nom|sg|masc	PD	28
28	seyn	sein	VAINF	sein	_	OC	24
29	,	,	$,	,	_	--	28
30	und	und	KON	und	_	CD	24
31	ihr	ihr	PPOSAT	ihr	acc|sg|neut	NK	32
32	Licht	Licht	NN	Licht	acc|sg|neut	CJ	30
33	von	von	APPR	von	_	MO	36
34	sich	sich	PRF	er|es|sie	dat|sg|3	NK	33
35	selbsten	selbst	PRF	selbst	_	MNR	34
36	haben	haben	VAINF	haben	pl|3|pres|ind	OC	14
37	.	.	SENT	.	_	--	36

1	Dahingegen	Dahingegen	KOUS	dahingegen	_	MO	6
2	die	die	ART	d	nom|pl|masc	NK	3
3	Planeten	Planeten	NN	Planet	nom|pl|masc	SB	6
4	nicht	nicht	PTKNEG	nicht	_	NG	6
5	sichtbar	sichtbar	ADJD	sichtbar	pos	PD	6
6	sind	sind	VAFIN	sein	pl|3|pres|ind	--	0
7	,	,	$,	,	_	--	6
8	als	als	KOKOM	als	_	CM	10
9	insofern	insofern	ADV	insofern	_	MO	10
10	dieselben	dieselben	PDS	derselbe	acc|sg|masc	NK	15
11	von	von	APPR	von	_	SBP	14
12	der	der	ART	d	dat|sg|fem	NK	13
13	Sonne	Sonne	NN	Sonne	dat|sg|fem	NK	11
14	erleuchtet	erleuchtet	VVPP	erleuchten	_	OC	15
15	werden	werden	VAINF	werden	_	MO	6
16	.	.	SENT	.	_	--	15

1	Hieraus	Hieraus	PAV	hieraus	_	MO	2
2	entstehet	entstehet	VVFIN	entstehen	sg|3|pres|ind	--	0
3	also	also	ADV	also	_	MO	2
4	ein	ein	ART	ein	nom|sg|masc	NK	6
5	anderer	anderer	ADJA	ander	nom|sg|masc|pos	NK	6
6	Haupt-Unterschied	Haupt-Unterschied	NN	Haupt-Unterschied	nom|sg|masc	SB	2
7	zwischen	zwischen	APPR	zwischen	_	MNR	6
8	den	den	ART	d	dat|pl|masc	NK	9
9	Fixsternen	Fixsternen	NN	Fixsternen	dat|pl|masc	NK	7
10	,	,	$,	,	_	--	9
11	und	und	KON	und	_	CD	6
12	den	den	ART	d	acc|sg|masc	NK	13
13	Planeten	Planeten	NN	Planet	acc|sg|masc	CJ	11
14	,	,	$,	,	_	--	13
15	indem	indem	KOUS	indem	_	CP	17
16	jene	jene	PDAT	jen	nom|pl|neut	SB	17
17	feurige	feurige	ADJA	feurig	acc|pl|fem|pos	MNR	13
18	und	und	KON	und	_	CD	17
19	selbst	selbst	ADV	selbst	_	MO	20
20	leuchtende	leuchtende	ADJA	leuchtend	acc|pl|neut|pos	CJ	18
21	,	,	$,	,	_	--	20
22	diese	diese	PDS	dies	acc|pl|fem	NK	31
23	aber	aber	ADV	aber	_	MO	24
24	dunckle	dunkle	ADJA	dunkel	nom|sg|fem|pos	NK	31
25	und	und	KON	und	_	CD	24
26	nur	nur	ADV	nur	_	MO	29
27	ein	ein	ART	ein	acc|sg|neut	NK	29
28	entlehntes	entlehntes	ADJA	entlehntes	acc|sg|neut|pos	NK	29
29	Licht	Licht	NN	Licht	acc|sg|neut	SB	42
30	besitzende	besitzende	ADJA	besitzende	acc|sg|neut|pos	CJ	25
31	Welt	Welt	NN	Welt	acc|sg|neut	CJ	42
32	Coͤrper	Körper	NN	Körper	nom|sg|masc	NK	31
33	,	,	$,	,	_	--	32
34	und	und	KON	und	_	CD	42
35	in	in	APPR	in	_	MO	42
36	diesem	diesem	PDAT	dies	dat|sg|neut	NK	37
37	Stuͤck	Stück	NN	Stück	dat|sg|neut	NK	35
38	unserer	unserer	PPOSAT	unser	gen|sg|fem	NK	39
39	Erde	Erde	NN	Erde	gen|sg|fem	AG	37
40	voͤllig	völlig	ADJD	völlig	pos	MO	41
41	aͤhnlich	ähnlich	ADJD	ähnlich	pos	PD	42
42	sind	sind	VAFIN	sein	pl|3|pres|ind	RC	16
43	.	.	SENT	.	_	--	42

1	Die	Die	ART	d	nom|pl|fem	NK	2
2	Planeten	Planeten	NN	Planet	nom|pl|masc	SB	3
3	bekommen	bekommen	VVINF	bekommen	pl|3|pres|ind	--	0
4	nehmlich	nämlich	ADV	nämlich	_	MO	3
5	ihr	ihr	PPOSAT	ihr	acc|sg|neut	NK	6
6	Licht	Licht	NN	Licht	acc|sg|neut	OA	3
7	von	von	APPR	von	_	MO	3
8	der	der	ART	d	dat|sg|fem	NK	9
9	Sonne	Sonne	NN	Sonne	dat|sg|fem	NK	7
10	,	,	$,	,	_	--	9
11	um	um	APPR	um	_	CP	20
12	welcher	welcher	PRELS	welch	gen|sg|fem	OA	20
13	sie	sie	PPER	Sie	nom|pl|*|3	SB	20
14	sich	sich	PRF	er|es|sie	acc|pl|3	OA	20
15	alle	alle	PIS	all	nom|pl|*	NK	13
16	in	in	APPR	in	_	MO	20
17	gesetzten	gesetzten	ADJA	gesetzt	dat|pl|fem|pos	NK	18
18	Zeiten	Zeiten	NN	Zeit	dat|pl|fem	NK	16
19	herum	herum	PTKVZ	herum	_	AC	7
20	bewegen	bewegen	VVINF	bewegen	_	MO	3
21	.	.	SENT	.	_	--	20

1	Die	Die	ART	d	nom|pl|masc	NK	2
2	Fixsterne	Fixsterne	NN	Fixstern	nom|pl|masc	SB	23
3	aber	aber	ADV	aber	_	MO	2
4	,	,	$,	,	_	--	3
5	welche	welche	PRELS	welch	nom|pl|fem	SB	21
6	in	in	APPR	in	_	MO	21
7	einer	einer	ART	ein	dat|sg|fem	NK	10
8	erstaunend	erstaunend	ADJD	erstaunend	pos	MO	9
9	grossen	großen	ADJA	groß	dat|sg|fem|pos	NK	10
10	Entfernung	Entfernung	NN	Entfernung	dat|sg|fem	NK	6
11	,	,	$,	,	_	--	10
12	so	so	PTKREL	so	_	MO	13
13	wohl	wohl	ADV	wohl	_	MO	21
14	von	von	APPR	von	_	PG	13
15	uns	uns	PPER	wir	dat|pl|*|1	NK	14
16	,	,	$,	,	_	--	15
17	als	als	KOKOM	als	_	CP	21
18	der	der	ART	d	nom|sg|masc	NK	19
19	Sonne	Sonne	NN	Sonne	dat|sg|fem	DA	21
20	,	,	$,	,	_	--	19
21	abstehen	abstehen	VVINF	abstehen	pl|3|pres|ind	RC	2
22	,	,	$,	,	_	--	21
23	wuͤrden	würden	VAFIN	werden	pl|3|past|subj	--	0
24	gantz	ganz	ADV	ganz	_	MO	38
25	und	und	KON	und	_	CD	24
26	gar	gar	ADV	gar	_	MO	27
27	nicht	nicht	PTKNEG	nicht	_	NG	30
28	gesehen	gesehen	VVPP	sehen	_	OC	29
29	werden	werden	VAINF	werden	_	OC	30
30	koͤnnen	können	VMFIN	können	_	CJ	25
31	,	,	$,	,	_	--	30
32	wenn	wenn	KOUS	wenn	_	CP	38
33	dieselben	dieselben	PDS	derselbe	nom|pl|*	SB	38
34	nicht	nicht	PTKNEG	nicht	_	NG	38
35	ihr	ihr	PPOSAT	ihr	acc|sg|neut	NK	37
36	eigenes	eigenes	ADJA	eigen	acc|sg|neut|pos	NK	37
37	Licht	Licht	NN	Licht	acc|sg|neut	OA	38
38	besaͤssen	besessen	VVPP	besitzen	_	OC	23
39	.	.	SENT	.	_	--	38

1	Unter	Unter	APPR	unter	_	MO	4
2	allen	allen	PIAT	all	dat|pl|masc	NK	3
3	Planeten	Planeten	NN	Planet	gen|pl|masc	NK	1
4	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
5	der	der	ART	d	nom|sg|masc	NK	6
6	Saturnus	Saturnus	NE	Saturnus	nom|sg|masc	SB	4
7	der	der	ART	d	nom|sg|masc	NK	8
8	weiteste	weiteste	ADJA	weiteste	nom|sg|masc|sup	PD	4
9	von	von	APPR	von	_	MNR	8
10	der	der	ART	d	dat|sg|fem	NK	11
11	Sonne	Sonne	NN	Sonne	dat|sg|fem	NK	9
12	,	,	$,	,	_	--	11
13	der	der	ART	d	nom|sg|masc	NK	15
14	naͤchste	nächste	NA	nah	nom|sg|masc|pos	NK	15
15	Fixstern	Fixstern	NN	Fixstern	nom|sg|masc	SB	17
16	aber	aber	ADV	aber	_	MO	15
17	mag	mag	VMFIN	mögen	sg|3|pres|ind	OC	11
18	wohl	wohl	ADV	wohl	_	MO	17
19	mehr	mehr	ADV	mehr	_	MO	17
20	,	,	$,	,	_	--	19
21	als	als	KOKOM	als	_	CM	22
22	1000.	1000.	CARD	@ord@	_	CC	19
23	mahl	mal	NN	Mal	_	MO	22
24	weiter	weiter	ADV	weit	_	MO	29
25	von	von	APPR	von	_	MO	29
26	der	der	ART	d	dat|sg|fem	NK	27
27	Sonne	Sonne	NN	Sonne	dat|sg|fem	NK	25
28	entfernet	entfernet	VVPP	entfernen	pos	PD	29
29	seyn	sein	VAINF	sein	_	OC	17
30	,	,	$,	,	_	--	29
31	und	und	KON	und	_	CD	4
32	es	es	PPER	es	nom|sg|neut|3	SB	33
33	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	31
34	wahrscheinlich	wahrscheinlich	ADJD	wahrscheinlich	pos	PD	33
35	,	,	$,	,	_	--	34
36	daß	daß	KOUS	daß	_	CP	47
37	auch	auch	ADV	auch	_	MO	39
38	die	die	ART	d	nom|pl|masc	NK	39
39	Fixsterne	Fixsterne	NN	Fixstern	nom|pl|masc	SB	47
40	unter	unter	APPR	unter	_	MO	47
41	sich	sich	PRF	er|es|sie	dat|pl|3	NK	40
42	eben	eben	ADV	eben	_	MO	44
43	so	so	ADV	so	_	MO	44
44	weit	weit	ADJD	weit	pos	MO	47
45	von	von	APPR	von	_	MO	47
46	einander	einander	PRF	einander	_	NK	45
47	abstehen	abstehen	VVINF	abstehen	_	RE	32
48	.	.	SENT	.	_	--	47

1	Hieraus	Hieraus	PAV	hieraus	_	MO	2
2	folget	folget	VVFIN	folgen	sg|3|pres|ind	--	0
3	,	,	$,	,	_	--	2
4	daß	daß	KOUS	daß	_	CP	19
5	ein	ein	ART	ein	nom|sg|masc	NK	7
6	jeglicher	jeglicher	PIAT	jeglich	nom|sg|masc|pos	NK	7
7	Fixstern	Fixstern	NN	Fixstern	nom|sg|masc	SB	19
8	eben	eben	ADV	eben	_	MO	19
9	ein	ein	ART	ein	nom|sg|masc	NK	14
10	solcher	solcher	PIAT	solch	nom|sg|masc	NK	14
11	feuriger	feuriger	ADJA	feuriger	nom|sg|masc|pos	NK	14
12	und	und	KON	und	_	CD	11
13	grosser	großer	ADJA	groß	nom|sg|masc|pos	CJ	12
14	Coͤrper	Körper	NN	Körper	nom|sg|masc	PD	19
15	,	,	$,	,	_	--	14
16	als	als	KOKOM	als	_	CP	19
17	die	die	ART	d	nom|sg|fem	NK	18
18	Sonne	Sonne	NN	Sonne	nom|sg|fem	SB	19
19	sey	sei	VAFIN	sein	sg|3|pres|subj	OC	2
20	,	,	$,	,	_	--	19
21	und	und	KON	und	_	CD	19
22	auch	auch	ADV	auch	_	MO	30
23	einen	einen	ART	ein	acc|sg|masc	NK	27
24	eben	eben	ADV	eben	_	MO	25
25	so	so	ADV	so	_	MO	26
26	grossen	großen	ADJA	groß	acc|sg|masc|pos	NK	27
27	Raum	Raum	NN	Raum	acc|sg|masc	OA	30
28	um	um	APPR	um	_	MO	30
29	sich	sich	PRF	er|es|sie	dat|sg|3	NK	28
30	habe	habe	VAFIN	haben	sg|3|pres|subj	CJ	21
31	,	,	$,	,	_	--	30
32	zu	zu	APPR	zu	_	MO	39
33	dessen	dessen	PDAT	d	gen|sg|masc	AG	34
34	Erleuchtung	Erleuchtung	NN	Erleuchtung	dat|sg|fem	NK	32
35	und	und	KON	und	_	CD	34
36	Erwaͤrmung	Erwärmung	NN	Erwärmung	acc|sg|fem	CJ	35
37	er	er	PPER	er	nom|sg|masc|3	SB	40
38	bestimmt	bestimmt	VVPP	bestimmen	sg|3|pres|ind	PD	39
39	seyn	sein	VAINF	sein	_	OC	40
40	mag	mag	VMFIN	mögen	sg|3|pres|ind	CC	25
41	.	.	SENT	.	_	--	40

1	Weil	Weil	KOUS	weil	_	CP	12
2	nun	nun	ADV	nun	_	MO	12
3	die	die	ART	d	nom|sg|fem	NK	4
4	Sonne	Sonne	NN	Sonne	nom|sg|fem	OA	12
5	von	von	APPR	von	_	SBP	12
6	der	der	ART	d	dat|sg|fem	NK	7
7	Erde	Erde	NN	Erde	dat|sg|fem	NK	5
8	und	und	KON	und	_	CD	7
9	den	den	ART	d	dat|pl|masc	NK	11
10	uͤbrigen	übrigen	ADJA	übrig	dat|pl|masc|pos	NK	11
11	Planeten	Planeten	NN	Planet	dat|pl|masc	CJ	8
12	umgeben	umgeben	VVPP	umgeben	_	MO	18
13	,	,	$,	,	_	--	12
14	und	und	KON	und	_	CD	12
15	zu	zu	APPR	zu	_	CJ	14
16	derselben	derselben	PDAT	derselbe	dat|sg|fem	NK	17
17	Erhaltung	Erhaltung	NN	Erhaltung	dat|sg|fem	NK	15
18	vermittelst	vermittelst	APPR	vermitteln	sg|2|pres|ind	--	0
19	des	des	ART	d	gen|sg|masc	NK	20
20	Lichts	Lichts	NN	Lichts	gen|sg|neut	DA	18
21	und	und	KON	und	_	CD	20
22	der	der	ART	d	dat|sg|fem	NK	23
23	Waͤrme	Wärme	NN	Wärme	dat|sg|fem	CJ	21
24	bestimmt	bestimmt	VVPP	bestimmen	_	PD	25
25	ist	ist	VAFIN	sein	sg|3|pres|ind	MO	18
26	;	;	SENT	;	_	--	25

1	so	so	ADV	so	_	MO	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	zu	zu	PTKZU	zu	_	PM	4
4	vermuthen	vermuten	VVINF	vermuten	_	OC	2
5	,	,	$,	,	_	--	4
6	daß	daß	KOUS	daß	_	CP	16
7	ein	ein	ART	ein	nom|sg|masc	NK	9
8	jeglicher	jeglicher	PIAT	jeglich	nom|sg|masc|pos	NK	9
9	Fixstern	Fixstern	NN	Fixstern	nom|sg|masc	SB	16
10	gleichfalls	gleichfalls	ADV	gleichfalls	_	MO	16
11	einige	einige	PIAT	einig	nom|pl|fem	NK	12
12	Planeten	Planeten	NN	Planet	nom|pl|*	OA	16
13	um	um	APPR	um	_	MO	16
14	sich	sich	PRF	er|es|sie	acc|sg|3	NK	13
15	herum	herum	PTKVZ	herum	_	AC	13
16	habe	habe	VAFIN	haben	sg|3|pres|subj	SB	2
17	,	,	$,	,	_	--	16
18	und	und	KON	und	_	CD	2
19	dieselben	dieselben	PDS	derselbe	acc|sg|masc	SB	22
20	so	so	ADV	so	_	MO	21
21	wohl	wohl	ADV	wohl	_	MO	22
22	durch	durch	APPR	durch	_	CJ	18
23	die	die	ART	d	acc|sg|fem	NK	24
24	Erleuchtung	Erleuchtung	NN	Erleuchtung	acc|sg|fem	NK	22
25	,	,	$,	,	_	--	24
26	als	als	KOKOM	als	_	CP	30
27	die	die	ART	d	nom|sg|fem	NK	28
28	Erwaͤrmung	Erwärmung	NN	Erwärmung	nom|sg|fem	SB	30
29	,	,	$,	,	_	--	28
30	unterhalte	unterhalte	VVFIN	unterhalten	sg|3|pres|subj	RE	20
31	.	.	SENT	.	_	--	30

1	Da	Da	KOUS	da	_	CP	10
2	wir	wir	PPER	wir	nom|pl|*|1	SB	10
3	nun	nun	ADV	nun	_	MO	9
4	ferner	ferner	ADV	fern	_	MO	3
5	die	die	ART	d	acc|sg|fem	NK	7
6	groͤste	größte	ADJA	groß	acc|sg|fem|sup	NK	7
7	Ursache	Ursache	NN	Ursache	acc|sg|fem	OA	9
8	zu	zu	PTKZU	zu	_	PM	9
9	glauben	glauben	VVINF	glauben	_	OC	10
10	haben	haben	VAFIN	haben	_	--	0
11	,	,	$,	,	_	--	10
12	daß	daß	KOUS	daß	_	CP	29
13	die	die	ART	d	nom|pl|fem	NK	15
14	uͤbrigen	übrigen	ADJA	übrig	nom|pl|fem|pos	NK	15
15	Planeten	Planeten	NN	Planet	nom|pl|fem	SB	29
16	unserer	unserer	PPOSAT	unser	gen|sg|fem	NK	17
17	Sonne	Sonne	NN	Sonne	gen|sg|fem	AG	15
18	eben	eben	ADV	eben	_	MO	28
19	so	so	ADV	so	_	MO	20
20	wohl	wohl	ADV	wohl	_	MO	28
21	,	,	$,	,	_	--	20
22	als	als	KOKOM	als	_	CM	24
23	unsere	unsere	PPOSAT	unser	nom|sg|fem	NK	24
24	Erde	Erde	NN	Erde	nom|sg|fem	CC	19
25	,	,	$,	,	_	--	24
26	mit	mit	APPR	mit	_	MO	28
27	Einwohnern	Einwohnern	NN	Einwohner	dat|pl|masc	NK	26
28	angefuͤllt	angefüllt	VVPP	anfüllen	_	PD	29
