

1	Lehr-Puncten	Lehr-Puncten	NN	Lehr-Puncten	nom|pl|fem	--	0
2	.	.	SENT	.	_	--	1

1	EIne	eine	ART	ein	nom|sg|fem	NK	3
2	absonderliche	absonderliche	ADJA	absonderliche	nom|sg|fem|pos	NK	3
3	Haupt-Lehre	Haupt-Lehre	NN	Haupt-Lehre	nom|sg|fem	OA	11
4	soll	soll	VMFIN	sollen	sg|3|pres|ind	--	0
5	s	s	PPER	es	nom|sg|neut|3	SB	4
6	wol	wohl	ADV	wohl	_	MO	7
7	bey	bei	APPR	bei	_	MO	4
8	diesem	diesem	PDAT	dies	dat|sg|masc	NK	9
9	Text	Text	NN	Text	dat|sg|masc	NK	7
10	nicht	nicht	PTKNEG	nicht	_	NG	4
11	bedoͤrffen	bedörffen	VVINF	bedörffen	_	OC	4
12	/	/	$,	/	_	--	11
13	als	als	KOKOM	als	_	CM	14
14	der	der	ART	d	nom|sg|masc	CC	6
15	selbs	selbst	PRF	selbst	_	MNR	14
16	nur	nur	ADV	nur	_	MO	22
17	eine	eine	ART	ein	nom|sg|fem	NK	22
18	aus	aus	APPR	aus	_	OP	21
19	4.	4.	CARD	@ord@	dat|pl|neut|pos	NK	20
20	Stuͤcken	Stücken	NN	Stück	dat|pl|neut	NK	18
21	bestehende	bestehende	ADJA	bestehend	nom|sg|fem|pos	NK	22
22	Lehre	Lehre	NN	Lehre	nom|sg|fem	PD	23
23	ist	ist	VAFIN	sein	sg|3|pres|ind	RC	14
24	.	.	SENT	.	_	--	23

1	Gleichwol	Gleichwohl	ADV	gleichwohl	_	MO	2
2	wollen	wollen	VMFIN	wollen	pl|1|pres|ind	--	0
3	wir	wir	PPER	wir	nom|pl|*|1	SB	2
4	an	an	APPR	an	_	MO	2
5	statt	statt	APPR	statt	_	NK	4
6	derselbsen	derselbsen	PDS	derselbsen	acc|pl|masc|pos	NK	5
7	diese	diese	PDAT	dies	acc|pl|masc	NK	10
8	zu	zu	APPR	zu	_	MO	9
9	gegenwaͤrtiger	gegenwärtiger	ADJA	gegenwärtig	dat|sg|fem|pos	NK	10
10	Zeit	Zeit	NN	Zeit	dat|sg|fem	SB	16
11	und	und	KON	und	_	CD	10
12	Gelegenheit	Gelegenheit	NN	Gelegenheit	dat|sg|fem	CJ	11
13	sich	sich	PRF	er|es|sie	acc|pl|3	DA	16
14	schickende	schickende	ADJA	schickende	acc|sg|fem|pos	NK	15
15	Betrachtung	Betrachtung	NN	Betrachtung	acc|sg|fem	OA	16
16	nehmen	nehmen	VVINF	nehmen	_	OC	2
17	.	.	SENT	.	_	--	16

1	Wie	Wie	PWAV	wie	_	MO	8
2	nemlich	nämlich	ADV	nämlich	_	MO	8
3	diese	diese	PDAT	dies	acc|sg|fem	NK	5
4	angezogene	angezogene	ADJA	angezogen	acc|sg|fem|pos	NK	5
5	Trostgruͤnde	Trostgründe	NN	Trostgrund	acc|pl|masc	OA	8
6	vornehmlich	vornehmlich	ADJD	fürnehmlich	_	MO	8
7	uns	uns	PPER	wir	dat|pl|*|1	OA	8
8	aufrichten	aufrichten	VVINF	aufrichten	_	OC	11
9	und	und	KON	und	_	CD	8
10	troͤsten	trösten	VVINF	trösten	_	CJ	9
11	moͤgen	mögen	VMFIN	mögen	pl|3|pres|ind	--	0
12	gegen	gegen	APPR	gegen	_	MO	10
13	den	den	ART	d	acc|sg|masc	NK	14
14	Tod	Tod	NN	Tod	acc|sg|masc	NK	12
15	:	:	SENT	:	_	--	14

1	Weil	Weil	KOUS	weil	_	CP	20
2	derselbe	derselbe	PDS	derselbe	nom|sg|masc	NK	8
3	under	unter	APPR	unter	_	MO	5
4	allen	allen	PIAT	all	dat|pl|*	NK	3
5	uͤbeln	üblen	ADJA	übel	pl|3|pres|ind	MO	8
6	die	die	PRELS	d	nom|pl|*	NK	8
7	uns	uns	PPER	wir	dat|pl|*|1	NK	8
8	Zeit	Zeit	NN	Zeit	acc|sg|fem	SB	20
9	dessen	dessen	PDS	d	gen|sg|neut	AG	13
10	/	/	$,	/	_	--	9
11	als	als	KOUS	als	_	CM	16
12	wir	wir	PPER	wir	nom|pl|*|1	SB	14
13	Trosts	Trosts	NN	Trosts	acc|pl|masc	OA	14
14	bedoͤrffen	bedörffen	VVFIN	bedörffen	_	RE	16
15	/	/	$,	/	_	--	14
16	das	das	PRELS	d	acc|sg|neut	CC	8
17	der	der	ART	d	gen|sg|fem	NK	18
18	Natur	Natur	NN	Natur	gen|sg|fem	AG	16
19	entsetzlichste	entsetzlichste	ADJA	entsetzlichste	_	PD	20
20	ist	ist	VAFIN	sein	sg|3|pres|ind	RE	22
21	/	/	$,	/	_	--	20
22	so	so	ADV	so	_	MO	23
23	bedoͤrffen	bedörffen	VVFIN	bedörffen	pl|1|pres|ind	--	0
24	wir	wir	PPER	wir	nom|pl|*|1	SB	23
25	ja	ja	ADV	ja	_	MO	23
26	sonderlich	sonderlich	ADJD	sonderlich	pos	MO	23
27	Trosts	Trosts	NN	Trosts	acc|pl|masc	OA	23
28	gegen	gegen	APPR	gegen	_	MNR	27
29	denselben	denselben	PDS	derselbe	acc|sg|masc	NK	28
30	.	.	SENT	.	_	--	29

1	Indem	Indem	KOUS	indem	_	MO	6
2	auch	auch	ADV	auch	_	MO	6
3	uns	uns	PRF	wir	acc|pl|*|1	DA	6
4	allen	allen	PIS	all	dat|pl|*	DA	6
5	daran	daran	PAV	daran	_	MO	6
6	gelegen	gelegen	VVPP	liegen	_	RE	19
7	/	/	$,	/	_	--	6
8	wie	wie	KOUS	wie	_	MO	17
9	wir	wir	PPER	wir	nom|pl|*|1	SB	17
10	von	von	APPR	von	_	MO	17
11	dieser	dieser	PDAT	dies	dat|sg|fem	NK	12
12	Welt	Welt	NN	Welt	dat|sg|fem	NK	10
13	endlich	endlich	ADV	endlich	_	MO	17
14	unsern	unseren	PPOSAT	unser	acc|sg|masc	NK	16
15	letzten	letzten	ADJA	letzt	acc|sg|masc|pos	NK	16
16	Abschied	Abschied	NN	Abschied	acc|sg|masc	OA	17
17	nehmen	nehmen	VVINF	nehmen	_	MO	6
18	/	/	$,	/	_	--	17
19	so	so	ADV	so	_	MO	20
20	bedarffs	Bedarfs	NN	Bedarf	gen|sg|masc	--	0
21	wiederum	wiederum	ADV	wiederum	_	MNR	20
22	/	/	$,	/	_	--	21
23	daß	daß	KOUS	daß	_	CP	42
24	wir	wir	PPER	wir	nom|pl|*|1	SB	42
25	uns	uns	PPER	wir	acc|pl|1	OA	31
26	zeitlich	zeitlich	ADJD	zeitlich	pos	MO	31
27	gegen	gegen	APPR	gegen	_	MO	31
28	die	die	ART	d	acc|sg|fem	NK	29
29	Furcht	Furcht	NN	Furcht	acc|sg|fem	NK	27
30	desselben	desselben	PDS	derselbe	gen|sg|neut	AG	29
31	verwahren	verwahren	VVINF	verwahren	_	MO	42
32	/	/	$,	/	_	--	31
33	und	und	KON	und	_	CD	31
34	mit	mit	APPR	mit	_	MO	37
35	dem	dem	ART	d	dat|sg|masc	NK	36
36	Trost	Trost	NN	Trost	dat|sg|masc	NK	34
37	versehen	versehen	VVPP	versehen	_	CJ	33
38	/	/	$,	/	_	--	37
39	der	der	PRELS	d	nom|sg|masc	NK	41
40	alsdann	alsdann	ADV	alsdann	nom|sg|masc|pos	NK	41
41	Bestand	Bestand	NN	Bestand	nom|sg|masc	SB	42
42	habe	habe	VAFIN	haben	sg|3|pres|subj	RE	5
43	.	.	SENT	.	_	--	42

1	Wie	Wie	PWAV	wie	_	MO	14
2	dann	dann	ADV	dann	_	MO	24
3	aller	aller	PIAT	all	dat|sg|fem	NK	4
4	Trost	Trost	NN	Trost	nom|sg|masc	SB	24
5	/	/	$,	/	_	--	4
6	der	der	PRELS	d	gen|sg|fem	SB	32
7	auf	auf	APPR	auf	_	MO	4
8	geringern	geringeren	ADJA	gering	dat|pl|fem|comp	NK	9
9	Gruͤnden	Gründen	NN	Grund	dat|pl|masc	NK	7
10	/	/	$,	/	_	--	9
11	als	als	KOUS	als	_	CM	15
12	wir	wir	PPER	wir	nom|pl|*|1	SB	15
13	jetzo	jetzt	ADV	jetzt	_	MO	14
14	anfuͤhren	anführen	VVINF	anführen	_	OC	15
15	werden	werden	VAFIN	werden	pl|1|pres|ind	CC	8
16	/	/	$,	/	_	--	15
17	bestehet	bestehet	VVFIN	bestehen	pos	MO	24
18	/	/	$,	/	_	--	17
19	umb	um	KOUI	um	_	MO	24
20	solche	solche	PIAT	solch	acc|sg|fem	NK	21
21	Zeit	Zeit	NN	Zeit	acc|sg|fem	NK	19
22	nothwendig	notwendig	ADJD	notwendig	pos	MO	23
23	hinfallen	hinfallen	VVINF	hinfallen	_	OC	24
24	muß	muß	VMFIN	müssen	sg|3|pres|ind	--	0
25	/	/	$,	/	_	--	24
26	und	und	KON	und	_	CD	24
27	gegen	gegen	APPR	gegen	_	MO	31
28	solche	solche	PIAT	solch	acc|sg|fem	NK	29
29	Noht	Not	NN	Not	acc|sg|fem	NK	27
30	nicht	nicht	PTKNEG	nicht	_	NG	32
31	genugsam	genugsam	ADJD	genügsam	pos	PD	32
32	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	26
33	.	.	SENT	.	_	--	32

1	Aber	Aber	KON	aber	_	JU	3
2	dieses	dieses	PDS	dies	nom|sg|neut	SB	3
3	sind	sind	VAFIN	sein	pl|3|pres|ind	--	0
4	die	die	ART	d	nom|sg|fem	NK	7
5	4.	4.	CARD	@ord@	_	MO	6
6	kraͤfftige	kräftige	ADJA	kräftig	nom|pl|masc|pos	NK	7
7	Trostgruͤnde	Trostgründe	NN	Trostgrund	nom|pl|masc	PD	3
8	gegen	gegen	APPR	gegen	_	MNR	7
9	den	den	ART	d	acc|sg|masc	NK	10
10	Tod	Tod	NN	Tod	acc|sg|masc	NK	8
11	und	und	KON	und	_	CD	10
12	dessen	dessen	PDAT	d	gen|sg|masc	AG	13
13	Forcht	Forcht	NN	Furcht	acc|sg|fem	CJ	11
14	.	.	SENT	.	_	--	13

1	1.	1.	CARD	@ord@	_	--	0

1	Die	Die	ART	d	nom|sg|fem	NK	2
2	Liebe	Liebe	NN	Liebe	nom|sg|fem	--	0
3	des	des	ART	d	gen|sg|masc	NK	5
4	Himmlischen	Himmlischen	ADJA	himlisch	gen|sg|masc|pos	NK	5
5	Vatters	Vaters	NN	Vater	gen|sg|masc	AG	2
6	.	.	SENT	.	_	--	5

1	Daß	Dass	KOUS	Dass	_	CP	5
2	ein	ein	ART	ein	nom|sg|masc	NK	3
3	Sterbender	Sterbender	NN	Sterbender	nom|sg|masc	SB	5
4	sich	sich	PRF	er|es|sie	acc|sg|3	OA	5
5	erinnere	erinnere	VVFIN	erinnern	sg|3|pres|subj	--	0
6	/	/	$,	/	_	--	5
7	ja	ja	ADV	ja	_	MO	5
8	ein	ein	ART	ein	nom|sg|masc	NK	9
9	jeglicher	jeglicher	PIAT	jeglich	nom|sg|masc	SB	5
10	/	/	$,	/	_	--	9
11	der	der	PRELS	d	nom|sg|masc	SB	15
12	an	an	APPR	an	_	OP	15
13	seinen	seinen	PPOSAT	sein	acc|sg|masc	NK	14
14	Tod	Tod	NN	Tod	acc|sg|masc	NK	12
15	gedencket	gedenket	VVFIN	gedenken	_	RC	9
16	/	/	$,	/	_	--	15
17	dabey	dabei	PAV	dabei	_	MO	18
18	gedencke	gedenke	VVFIN	gedenken	sg|3|pres|subj	OC	15
19	/	/	$,	/	_	--	18
20	er	er	PPER	er	nom|sg|masc|3	SB	21
21	seye	sei	VAFIN	sein	sg|3|pres|subj	CJ	5
22	unter	unter	APPR	unter	_	MO	35
23	der	der	ART	d	dat|sg|fem	NK	24
24	Zahl	Zahl	NN	Zahl	dat|sg|fem	NK	22
25	der	der	ART	d	gen|pl|masc	NK	26
26	jenigen	jenigen	PIS	jenige	gen|pl|masc	AG	24
27	/	/	$,	/	_	--	26
28	die	die	PRELS	d	acc|sg|fem	PD	49
29	der	der	ART	d	gen|sg|fem	NK	31
30	himmlische	himmlische	ADJA	himmlisch	nom|sg|masc|pos	NK	31
31	Vatter	Vater	NN	Vater	nom|sg|masc	AG	28
32	von	von	APPR	von	_	MO	35
33	Ewigkeit	Ewigkeit	NN	Ewigkeit	dat|sg|fem	NK	32
34	her	her	PTKVZ	her	_	AC	32
35	geliebet	geliebt	VVPP	lieben	_	OC	21
36	habe	habe	VAFIN	haben	sg|3|pres|subj	OA	35
37	/	/	$,	/	_	--	36
38	und	und	KON	und	_	CD	21
39	was	was	PWS	was	acc|sg|neut	OA	44
40	er	er	PPER	er	nom|sg|masc|3	SB	44
41	bißher	bisher	ADV	bisher	_	MO	44
42	an	an	APPR	an	_	MO	44
43	ihm	ihm	PPER	er	dat|sg|masc|3	NK	42
44	gethan	getan	VVPP	tun	_	SB	46
45	/	/	$,	/	_	--	44
46	seye	sei	VAFIN	sein	sg|3|pres|subj	CJ	38
47	lauter	lauter	PIAT	lauter	*|*|*	NK	48
48	Liebes-Werck	Liebes-Werck	NN	Liebes-Werck	nom|sg|fem	SB	46
49	gewesen	gewesen	VAPP	sein	_	OC	46
50	.	.	SENT	.	_	--	49

1	Daher	Daher	ADV	daher	_	MO	2
2	seye	sei	VAFIN	sein	sg|3|pres|subj	--	0
3	eben	eben	ADV	eben	_	MO	2
4	auch	auch	ADV	auch	_	MO	5
5	dieses	dieses	PDS	dies	acc|sg|neut	SB	2
6	/	/	$,	/	_	--	5
7	daß	daß	KOUS	daß	_	CP	13
8	er	er	PPER	er	nom|sg|masc|3	SB	13
9	uns	uns	PPER	wir	dat|pl|*|1	DA	13
10	von	von	APPR	von	_	OP	13
11	dieser	dieser	PDAT	dies	dat|sg|fem	NK	12
12	Welt	Welt	NN	Welt	dat|sg|fem	NK	10
13	abfordere	abfordere	VVFIN	abfordere	sg|3|pres|subj	SB	2
14	eine	eine	ART	ein	acc|sg|fem	NK	15
15	Frucht	Frucht	NN	Frucht	acc|sg|fem	OA	13
16	seiner	seiner	PPOSAT	sein	gen|sg|fem	NK	18
17	hertzlichen	hertzlichen	ADJA	hertzlichen	gen|sg|fem|pos	NK	18
18	Liebe	Liebe	NN	Liebe	gen|sg|fem	AG	15
19	/	/	$,	/	_	--	18
20	daß	daß	KOUS	daß	_	CP	25
21	er	er	PPER	er	nom|sg|masc|3	SB	25
22	Mitleiden	Mitleiden	NN	Mitleiden	acc|pl|fem	OA	25
23	mit	mit	APPR	mit	_	MO	25
24	uns	uns	PPER	wir	dat|pl|*|1	NK	23
25	traͤget	trägt	VVFIN	tragen	sg|3|pres|ind	OC	18
26	/	/	$,	/	_	--	25
27	daß	daß	KOUS	daß	_	CP	44
28	wir	wir	PPER	wir	nom|pl|*|1	SB	44
29	etwa	etwa	ADV	etwa	_	MO	30
30	nun	nun	ADV	nun	_	MO	43
31	so	so	ADV	so	_	MO	43
32	und	und	KON	und	_	CD	31
33	so	so	ADV	so	_	MO	34
34	lang	lang	ADJD	lang	pos	CJ	32
35	ein	ein	ART	ein	nom|sg|masc	NK	42
36	mit	mit	APPR	mit	_	MO	41
37	allerhand	allerhand	PIAT	allerhand	*|*|*	NK	38
38	Art	Art	NN	Art	dat|sg|fem	NK	36
39	des	des	ART	d	gen|sg|neut	NK	40
40	Creutzes	Kreuzes	NN	Kreuz	gen|sg|neut	AG	38
41	muͤhseliges	mühseliges	ADJA	mühseliges	acc|sg|neut|pos	NK	42
42	Leben	Leben	NN	Leben	acc|sg|neut	OA	51
43	gefuͤhret	geführt	VVPP	führen	_	OC	44
44	haben	haben	VAFIN	haben	pl|3|pres|ind	CJ	13
45	/	/	$,	/	_	--	44
46	sonderlich	sonderlich	ADJD	sonderlich	pos	MO	51
47	die	die	ART	d	nom|pl|masc	NK	48
48	Beschwehrde	Beschwerde	NN	Beschwerde	acc|sg|fem	OA	51
49	der	der	ART	d	gen|sg|fem	NK	50
50	Suͤnde	Sünde	NN	Sünde	gen|sg|fem	AG	48
51	gefuͤhlet	gefühlt	VVPP	fühlen	_	CJ	44
52	und	und	KON	und	_	CD	48
53	dero	deren	PDAT	d	gen|sg|fem	AG	54
54	Dienstbarkeit	Dienstbarkeit	NN	Dienstbarkeit	acc|sg|fem	CJ	52
55	mit	mit	APPR	mit	_	MNR	54
56	Schmertzen	Schmerzen	NN	Schmerz	dat|pl|masc	NK	55
57	offt	oft	ADV	oft	_	MO	54
58	beseufftzet	beseufzet	VVPP	beseufzet	pos	PD	54
59	:	:	SENT	:	_	--	58

1	daher	daher	ADV	daher	_	MO	2
2	laͤst	läßt	VVFIN	lassen	sg|3|pres|ind	--	0
3	er	er	PPER	er	nom|sg|masc|3	SB	2
4	sich	sich	PRF	er|es|sie	acc|sg|3	DA	9
5	unser	unser	PPOSAT	unser	acc|sg|neut	NK	6
6	Elend	Elend	NN	Elend	acc|sg|neut	OA	9
7	zu	zu	APPR	zu	_	MO	9
8	Hertzen	Herzen	NN	Herz	dat|sg|neut	NK	7
9	gehen	gehen	VVINF	gehen	_	OC	2
10	/	/	$,	/	_	--	9
11	und	und	KON	und	_	CD	2
12	forderet	fordert	VVFIN	fordern	sg|3|pres|ind	CJ	11
13	uns	uns	PPER	wir	acc|pl|*|1	OA	12
14	nunmehr	nunmehr	ADV	nunmehr	_	MO	12
15	zu	zu	APPR	zu	_	OP	12
16	Hauß	Haus	NN	Haus	dat|sg|neut	NK	15
17	in	in	APPR	in	_	MO	12
18	das	das	ART	d	acc|sg|neut	NK	19
19	Vatterland	Vaterland	NN	Vaterland	acc|sg|neut	NK	17
20	auß	aus	APPR	aus	_	MNR	19
21	der	der	ART	d	dat|sg|fem	NK	22
22	Wallfahrt	Wallfahrt	NN	Wallfahrt	dat|sg|fem	NK	20
23	.	.	SENT	.	_	--	22

1	Gleichwie	Gleichwie	ADV	gleichwie	nom|pl|neut	SB	10
2	einer	einer	PIS	ein	gen|sg|fem	NK	4
3	/	/	$,	/	_	--	2
4	der	der	PRELS	d	gen|sg|fem	AG	1
5	da	da	ADV	da	_	MO	7
6	ein	ein	ART	ein	acc|sg|neut	NK	7
7	Schiff	Schiff	NN	Schiff	acc|sg|neut	CJ	1
8	von	von	APPR	von	_	PG	7
9	Wellen	Wellen	NN	Welle	dat|pl|fem	NK	8
10	hin	hin	PTKVZ	hin	_	MO	55
11	und	und	KON	und	_	CD	10
12	her	her	PTKVZ	her	_	MO	13
13	geschmissen	geschmissen	VVPP	geschmissen	_	MO	22
14	und	und	KON	und	_	CD	13
15	uͤbel	übel	ADJD	übel	_	MO	16
16	zugerichtet	zugerichtet	VVPP	zurichten	_	CJ	14
17	/	/	$,	/	_	--	16
18	vor	vor	APPR	vor	_	MO	21
19	dem	dem	ART	d	dat|sg|masc	NK	20
20	Port	Port	NE	Port	dat|sg|masc	NK	18
21	schweben	schweben	VVINF	schweben	pl|3|past|ind	MO	16
