Fast	ADV	fast
alle	PIAT	alle
Menschen	NN	Mensch
übersehen	VVFIN	übersehen
überhaupt	ADV	überhaupt
oder	KON	oder
vergeßen	VVFIN	vergeßen
doch	ADV	doch
immer	ADV	immer
von	APPR	von
Neuem	NN	Neue
,	$,	,
daß	KOUS	dass
der	ART	die
Mensch	NN	Mensch
ursprünglich	ADJD	ursprünglich
ein	ART	eine
ebenso	ADV	ebenso
unsichtbares	ADJA	unsichtbar
,	$,	,
der	ART	die
Sinnenwahrnehmung	NN	Sinnenwahrnehmung
entrücktes	ADJA	entrückt
Wesen	NN	Wesen
ist	VAFIN	sein
,	$,	,
wie	KOKOM	wie
Gott	NN	Gott
.	$.	.
Wir	PPER	wir
erkennen	VVFIN	erkennen
auch	ADV	auch
von	APPR	von
unserem	PPOSAT	unser
nächsten	ADJA	nah
Freunde	NN	Freund
nur	ADV	nur
was	PRELS	was
er	PPER	er
uns	PRF	wir
mittheilt	ADJD	mittheilt
,	$,	,
was	PRELS	was
er	PPER	er
uns	PRF	wir
von	APPR	von
sich	PRF	sich
wißentlich	ADJD	wißentlich
oder	KON	oder
unwißentlich	ADJD	unwißentlich
offenbart	VVFIN	offenbaren
.	$.	.
Der	ART	die
Leib	NN	Leib
des	ART	die
Menschen	NN	Mensch
ist	VAFIN	sein
nicht	PTKNEG	nicht
der	ART	die
Mensch	NN	Mensch
,	$,	,
sondern	KON	sondern
nur	ADV	nur
ein	ART	eine
Werk	NN	Werk
des	ART	die
Menschen	NN	Mensch
;	$.	;
eine	ART	eine
Erscheinung	NN	Erscheinung
,	$,	,
durch	APPR	durch
die	PRELS	die
hindurch	ADV	hindurch
,	$,	,
wenn	KOUS	wenn
auch	ADV	auch
mittelst	ADJD	mittel
desselben	PDS	derselbe
,	$,	,
wir	PPER	wir
den	ART	die
Menschen	NN	Mensch
suchen	VVFIN	suchen
müßen	ADJD	müßen
.	$.	.
Im	APPRART	in+die
Hintergrunde	NN	Hintergrund
desselben	PDS	derselbe
ruht	VVFIN	ruhen
die	ART	die
Energie	NN	Energie
seines	PPOSAT	sein
Ich	NN	Ich
,	$,	,
die	PRELS	die
zunächst	ADV	zunächst
diesen	PDAT	dies
Leib	NN	Leib
selbst	ADV	selbst
geschaffen	VVPP	schaffen
;	$.	;
denn	KON	denn
jeder	PIS	jede
eignet	VVFIN	eignen
sich	PRF	sich
,	$,	,
schon	ADV	schon
ehe	KOUS	ehe
er	PPER	er
sich	PRF	sich
von	APPR	von
der	ART	die
Mutter	NN	Mutter
Leiblichkeit	NN	Leiblichkeit
trennt	VVFIN	trennen
,	$,	,
nur	ADV	nur
an	PTKVZ	an
und	KON	und
verarbeitet	VVFIN	verarbeiten
in	APPR	in
sein	PPOSAT	sein
eignes	ADJA	eigen
Wesen	NN	Wesen
nur	ADV	nur
,	$,	,
was	PWS	was
ihm	PPER	er
im	APPRART	in+die
Dasein	NN	Dasein
der	ART	die
Mutter	NN	Mutter
analog	ADJD	analog
ist	VAFIN	sein
;	$.	;
er	PPER	er
kömmt	VVFIN	kömmt
schon	ADV	schon
auf	APPR	auf
die	ART	die
Welt	NN	Welt
mit	APPR	mit
eigenthümlicher	ADJA	eigenthümlicher
,	$,	,
von	APPR	von
Innen	NN	Innen
heraus	ADV	heraus
bestimmter	ADJA	bestimmt
Physiognomie	NN	Physiognomie
.	$.	.
Dabei	PAV	dabei
unterliegt	VVFIN	unterliegen
er	PPER	er
schon	ADV	schon
in	APPR	in
diesen	PDAT	dies
Anfängen	NN	Anfang
einer	ART	eine
Schranke	NN	Schranke
–	$(	-
nämlich	ADV	nämlich
ebenso	ADV	ebenso
wie	KOUS	wie
er	PPER	er
später	ADJD	spät
nicht	PTKNEG	nicht
ganz	ADV	ganz
frei	ADJD	frei
wählen	VVINF	wählen
kann	VMFIN	können
,	$,	,
was	PWS	was
ihm	PPER	er
in	APPR	in
der	ART	die
Welt	NN	Welt
zu	APPR	zu
geistiger	ADJA	geistig
und	KON	und
leiblicher	ADJA	leiblich
Nahrung	NN	Nahrung
convenirt	NN	convenirt
,	$,	,
sondern	KON	sondern
nur	ADV	nur
wählen	VVINF	wählen
kann	VMFIN	können
unter	APPR	unter
dem	ART	die
,	$,	,
was	PWS	was
er	PPER	er
hat	VAFIN	haben
,	$,	,
so	ADV	so
ist	VAFIN	sein
er	PPER	er
schon	ADV	schon
im	APPRART	in+die
Mutterleibe	NN	Mutterleib
auf	APPR	auf
das	PDS	die
beschränkt	VVPP	beschränken
,	$,	,
was	PRELS	was
ihm	PPER	er
die	ART	die
Besonderheit	NN	Besonderheit
der	ART	die
Mutter	NN	Mutter
zu	PTKZU	zu
bieten	VVINF	bieten
vermag	VVFIN	vermag
–	$(	-
und	KON	und
diese	PDAT	dies
Beschränktheit	NN	Beschränktheit
der	ART	die
Mittel	NN	Mittel
ebenso	ADV	ebenso
wie	KOKOM	wie
andererseits	ADV	andererseits
die	ART	die
eigne	ADJA	eigen
Energie	NN	Energie
und	KON	und
Aneignungsfähigkeit	NN	Aneignungsfähigkeit
des	ART	die
Ich	NN	Ich
bedingen	VVFIN	bedingen
die	ART	die
neue	ADJA	neu
Eigenthümlichkeit	NN	Eigenthümlichkeit
,	$,	,
die	PRELS	die
zu	APPR	zu
Tage	NN	Tag
tritt	VVFIN	treten
.	$.	.
Aber	KON	aber
trotz	APPR	trotz
dieser	PDAT	dies
Beschränkung	NN	Beschränkung
liegt	VVFIN	liegen
in	APPR	in
dem	ART	die
Keime	NN	Keim
jeder	PIAT	jede
Persönlichkeit	NN	Persönlichkeit
die	ART	die
Aufgabe	NN	Aufgabe
und	KON	und
die	ART	die
Energie	NN	Energie
sich	PRF	sich
zu	APPR	zu
einem	ART	eine
Kunstwerke	NN	Kunstwerk
zu	PTKZU	zu
entwickeln	VVINF	entwickeln
–	$(	-
wie	KOKOM	wie
in	APPR	in
jedem	PIAT	jede
Pflanzenkeime	NN	Pflanzenkeime
auch	ADV	auch
die	ART	die
Energie	NN	Energie
liegt	VVFIN	liegen
,	$,	,
sich	PRF	sich
trotz	APPR	trotz
der	ART	die
Unvollkommenheiten	NN	Unvollkommenheit
,	$,	,
die	PRELS	die
etwa	ADV	etwa
schon	ADV	schon
das	ART	die
Samenkorn	NN	Samenkorn
behafteten	ADJA	behaftet
,	$,	,
trotz	APPR	trotz
der	ART	die
Mangelhaftigkeit	NN	Mangelhaftigkeit
des	ART	die
Bodens	NN	Boden
,	$,	,
in	APPR	in
