Liebig's	VVIMP	Liebig's
Theorie	NN	Theorie
der	ART	die
Pflanzenernährung	NN	Pflanzenernährung
Es	NN	Es
bedarf	VVFIN	bedürfen
wohl	ADV	wohl
kaum	ADV	kaum
der	ART	die
Erwähnung	NN	Erwähnung
,	$,	,
dass	KOUS	dass
wir	PPER	wir
hier	ADV	hier
nur	ADV	nur
eine	ART	eine
ganz	ADV	ganz
kurze	ADJA	kurz
Andeutung	NN	Andeutung
des	ART	die
Wichtigsten	NN	Wichtigste
von	APPR	von
Liebigs	NN	Liebigs
Ansichten	NN	Ansicht
über	APPR	über
die	ART	die
Pflanzenernährung	NN	Pflanzenernährung
geben	VVINF	geben
können	VMFIN	können
,	$,	,
ohne	KOUI	ohne
dabei	PAV	dabei
die	ART	die
grosse	ADJA	groß
Menge	NN	Menge
neuer	ADJA	neu
Gedanken	NN	Gedanke
zu	PTKZU	zu
berühren	VVINF	berühren
,	$,	,
welche	PRELS	welche
mit	APPR	mit
denselben	PDAT	derselb
in	APPR	in
näherer	ADJA	nah
oder	KON	oder
entfernterer	ADJA	entfernt
Verbindung	NN	Verbindung
stehen	VVFIN	stehen
,	$,	,
und	KON	und
seiner	PPOSAT	sein
Schrift	NN	Schrift
einen	ART	eine
so	ADV	so
umfassenden	ADJA	umfassend
Werth	NN	Werth
ertheilen	VVFIN	ertheilen
.	$.	.
Wie	KOUS	wie
bekannt	ADJD	bekannt
bestehen	VVFIN	bestehen
die	ART	die
Pflanzen	NN	Pflanze|Pflanzen
und	KON	und
Thiere	NN	Thiere
,	$,	,
abgesehen	VVPP	absehen
von	APPR	von
einer	ART	eine
kleinen	ADJA	klein
Beimischung	NN	Beimischung
mineralischer	ADJA	mineralisch
Körper	NN	Körper
,	$,	,
aus	APPR	aus
organischen	ADJA	organisch
Stoffen	NN	Stoff
,	$,	,
welche	PRELS	welche
,	$,	,
trotz	APPR	trotz
einer	ART	eine
grossen	ADJA	groß
Mannigfaltigkeit	NN	Mannigfaltigkeit
,	$,	,
doch	ADV	doch
alle	PIS	alle
aus	APPR	aus
vier	CARD	vier
chemischen	ADJA	chemisch
Elementen	NN	Element
,	$,	,
dem	ART	die
Sauerstoff	NN	Sauerstoff
,	$,	,
Wasserstoff	NN	Wasserstoff
,	$,	,
Kohlenstoff	NN	Kohlenstoff
und	KON	und
Stickstoff	NN	Stickstoff
zusammengesetzt	VVPP	zusammensetzen
sind	VAFIN	sein
.	$.	.
Nach	APPR	nach
Liebig’s	NN	Liebig’s
Ansicht	NN	Ansicht
werden	VAFIN	werden
nun	ADV	nun
alle	PIAT	alle
organischen	ADJA	organisch
Bestandtheile	NN	Bestandtheile
der	ART	die
Pflanzen	NN	Pflanze|Pflanzen
aus	APPR	aus
drei	CARD	drei
anorganischen	ADJA	anorganisch
Körpern	NN	Körper
,	$,	,
dem	ART	die
Wasser	NN	Wasser
,	$,	,
der	ART	die
Kohlensäure	NN	Kohlensäure
und	KON	und
dem	ART	die
Ammoniak	NN	Ammoniak
,	$,	,
welche	PRELS	welche
luftförmig	ADJD	luftförmig
in	APPR	in
der	ART	die
Atmosphäre	NN	Atmosphäre
vorkommen	VVFIN	vorkommen
,	$,	,
und	KON	und
die	ART	die
genannten	ADJA	genannt
vier	CARD	vier
Elemente	NN	Element
enthalten	VVPP	enthalten
,	$,	,
gebildet	VVPP	bilden
.	$.	.
Bei	APPR	bei
der	ART	die
Aufnahme	NN	Aufnahme
dieser	PDAT	dies
luftförmigen	ADJA	luftförmigen
Nahrungsmittel	NN	Nahrungsmittel
scheiden	VVFIN	scheiden
die	ART	die
Pflanzen	NN	Pflanze|Pflanzen
einen	ART	eine
Theil	NN	Theil
des	ART	die
darin	PAV	darin
enthaltenen	ADJA	enthalten
Sauerstoffs	NN	Sauerstoff
ab	PTKVZ	ab
,	$,	,
und	KON	und
nehmen	VVFIN	nehmen
ihn	PPER	er
später	ADJD	spät
,	$,	,
bei	APPR	bei
ihrer	PPOSAT	ihr
Verbrennung	NN	Verbrennung
oder	KON	oder
Verwesung	NN	Verwesung
,	$,	,
wieder	ADV	wieder
auf	PTKVZ	auf
;	$.	;
wodurch	PWAV	wodurch
die	ART	die
ursprünglichen	ADJA	ursprünglich
Nahrungsmittel	NN	Nahrungsmittel
,	$,	,
das	ART	die
Wasser	NN	Wasser
,	$,	,
die	ART	die
Kohlensäure	NN	Kohlensäure
und	KON	und
das	ART	die
Ammoniak	NN	Ammoniak
,	$,	,
wieder	ADV	wieder
hergestellt	VVPP	herstellen
und	KON	und
der	ART	die
Luft	NN	Luft
zurückgegeben	VVPP	zurückgeben
werden	VAFIN	werden
.	$.	.
Ganz	ADV	ganz
dieselbe	PDAT	dieselb
Veränderung	NN	Veränderung
erleiden	VVFIN	erleiden
diejenigen	PDAT	diejenigen
Pflanzen	NN	Pflanze|Pflanzen
,	$,	,
welche	PRELS	welche
den	ART	die
Thieren	NN	Thieren
zur	APPRART	zu+die
Nahrung	NN	Nahrung
dienen	VVFIN	dienen
,	$,	,
theils	ADJD	theils
während	APPR	während
des	ART	die
Lebens	NN	Leben
derselben	PDS	dieselbe
,	$,	,
theils	ADJD	theils
durch	APPR	durch
deren	PDAT	die
Verwesung	NN	Verwesung
