

1	Eine	Eine	ART	ein	nom|sg|fem	NK	3
2	vorlaͤufige	vorläufige	ADJA	vorläufig	nom|sg|fem|pos	NK	3
3	Kentniß	Kenntnis	NN	Kenntnis	nom|sg|fem	SB	21
4	der	der	ART	d	gen|pl|fem	NK	5
5	Wirkungen	Wirkungen	NN	Wirkung	gen|pl|fem	AG	3
6	der	der	ART	d	gen|sg|fem	NK	7
7	Seele	Seele	NN	Seele	gen|sg|fem	AG	5
8	mit	mit	APPR	mit	_	MNR	3
9	Ruͤksicht	Rücksicht	NN	Rücksicht	dat|sg|fem	NK	8
10	auf	auf	APPR	auf	_	MNR	9
11	die	die	ART	d	acc|pl|fem	NK	12
12	Erfahrungen	Erfahrungen	NN	Erfahrung	acc|pl|fem	NK	10
13	,	,	$,	,	_	--	12
14	nach	nach	APPR	nach	_	MO	18
15	welchen	welchen	PWAT	welch	dat|pl|masc	NK	14
16	diese	diese	PDAT	dies	nom|pl|fem	NK	17
17	Wirkungen	Wirkungen	NN	Wirkung	nom|pl|fem	SB	19
18	gehindert	gehindert	VVPP	hindern	_	OC	19
19	werden	werden	VAINF	werden	pl|3|pres|ind	RC	12
20	,	,	$,	,	_	--	19
21	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
22	um	um	APPR	um	_	AVC	23
23	so	so	ADV	so	_	MO	25
24	viel	viel	PIAT	viel	_	MO	25
25	noͤthiger	nötiger	ADJA	nötig	comp	PD	21
26	,	,	$,	,	_	--	25
27	da	da	KOUS	da	_	CP	39
28	im	im	APPRART	im	dat|sg|masc	MO	37
29	naͤchsten	nächsten	ADJA	nächster	dat|sg|masc|pos	NK	30
30	Versuch	Versuch	NN	Versuch	dat|sg|masc	NK	28
31	Urtheile	Urteile	NN	Urteil	acc|pl|neut	SB	39
32	uͤber	über	APPR	über	_	MNR	31
33	das	das	ART	d	acc|sg|neut	NK	34
34	Wesen	Wesen	NN	Wesen	acc|sg|neut	NK	32
35	der	der	ART	d	gen|sg|fem	NK	36
36	Seele	Seele	NN	Seele	gen|sg|fem	AG	34
37	abgefaßt	abgefaßt	VVPP	abfassen	_	OC	38
38	werden	werden	VAINF	werden	_	OC	39
39	sollen	sollen	VMFIN	sollen	pl|3|pres|ind	MO	18
40	.	.	SENT	.	_	--	39

1	Wir	Wir	PPER	wir	nom|pl|*|1	SB	2
2	unterscheiden	unterscheiden	VVFIN	unterscheiden	pl|1|pres|ind	--	0
3	nach	nach	APPR	nach	_	MO	2
4	der	der	ART	d	dat|sg|fem	NK	5
5	Verschiedenheit	Verschiedenheit	NN	Verschiedenheit	dat|sg|fem	NK	3
6	der	der	ART	d	gen|pl|fem	NK	7
7	Wirkungen	Wirkungen	NN	Wirkung	gen|pl|fem	AG	5
8	mehrere	mehrere	PIAT	mehrere	gen|pl|neut	NK	9
9	Kraͤfte	Kräfte	NN	Kraft	gen|pl|fem	AG	7
10	in	in	APPR	in	_	MNR	7
11	der	der	ART	d	dat|sg|fem	NK	12
12	Seele	Seele	NN	Seele	dat|sg|fem	NK	10
13	,	,	$,	,	_	--	12
14	so	so	ADV	so	_	MO	2
15	wie	wie	KOUS	wie	_	CM	26
16	wir	wir	PPER	wir	nom|pl|*|1	SB	26
17	es	es	PPER	es	acc|sg|neut|3	OA	24
18	bey	bei	APPR	bei	_	MO	24
19	allen	allen	PIAT	all	dat|pl|fem	NK	20
20	Wirkungen	Wirkungen	NN	Wirkung	dat|pl|fem	NK	18
21	der	der	ART	d	gen|pl|masc	NK	22
22	Koͤrper	Körper	NN	Körper	gen|pl|masc	AG	20
23	zu	zu	PTKZU	zu	_	PM	24
24	thun	tun	VVINF	tun	_	OC	25
25	gewohnt	gewohnt	ADJD	gewohnt	_	PD	26
26	sind	sind	VAFIN	sein	pl|3|pres|ind	CC	14
27	.	.	SENT	.	_	--	26

1	Allein	Allein	ADV	allein	_	MO	2
2	daraus	daraus	PAV	daraus	_	MO	29
3	,	,	$,	,	_	--	2
4	daß	daß	KOUS	daß	_	CP	27
5	wir	wir	PPER	wir	nom|pl|*|1	SB	27
